,Cement,Banking and Finance,Automobile,Telecommunications,Energy,Pharmaceuticals,Pharmaceuticals,Banking and Finance,Automobile,Metals and Mining,Consumer Goods,Banking and Finance,Telecommunications,Consumer Goods,Automobile,Consumer Goods,Utilities,Energy,Utilities,Cement,Pharmaceuticals,Utilities,Metals and Mining,,Information Technology,Cement,Metals and Mining,Information Technology
1/3/2020,-76.74221725400886,64.65580407932745,-6.211581011155731,4.490822450064447,252.61727455055794,60.18077604859564,15.342116447088827,76.88213093796061,-0.40680507180794745,-43.18306096900676,141.0500923448042,-6.522977920491401,15.299956723833773,10.49031539886034,-7.274357286678191,-13.262208344175551,-15.3280399628967,559.2988046034291,29.69100190845748,-40.06228765571914,107.59141904483864,-19.73442722291443,-40.22197779271668,95.55842019664375,87.18363141030166,-56.389577653312564,-29.345549223454892,134.17476588783947
1/6/2020,5.56426804543686,-25.13073149920333,-16.157252581243476,46.25641899330262,-32.322804929831726,-33.332430733609385,3.7887535612948886,0.31906259931555603,14.676347481274776,-9.925766694235772,-57.27305990336653,30.638238442305067,-14.685034534955733,-17.748558400375337,30.866990578127762,62.84,-10.768633735707011,-53.4402019426168,-0.04048054061998041,34.97611924631292,-49.29859641034643,-60.66354105125171,-25.895581361013075,-35.06520201530964,-18.252546066746355,-27.224312599550615,-7.352836851757749,35.0532204965748
1/7/2020,67.82132582787581,43.220208055192735,-36.603664329845905,-42.24787874455353,52.97168118667672,57.508814099896455,-0.02851256649437639,35.20883848999456,-0.6368213362362263,63.71100288427287,18.41614102168112,28.461831318680364,29.405852554699653,10.215570585771161,-21.110570782722082,10.901805453205604,35.821706177244536,-50.76857458153346,90.66159554656994,226.18112532566008,-6.065582283594539,3.672559539087228,37.43310495492005,-19.644424186352982,11.687006576766311,13.294198223580022,117.66091374359253,-3.589204008588265
1/8/2020,38.96262121511973,-1.429636969206971,74.52457489968299,224.28102374412856,5.493543523339661,-36.282325408762595,-21.98107008542228,-23.039053158634857,-3.996217094928689,-2.3302478333972587,133.60158727215415,-0.04673380394222271,286.6323596052419,-16.319024192380404,34.34597798475867,-45.33549289145452,-28.875845401677825,-13.305596426899235,-32.601601249845025,-18.332459110199796,-13.813355570934194,-22.540634461686793,0.8264227949100089,113.94712999579717,34.046066810762035,96.8579558023693,-25.89321702119922,-36.53088373341704
1/9/2020,12.02722696868146,-15.750898646694633,-15.391983008734444,28.770455766059875,-47.462829601299376,12.8260517649057,34.575285908330144,-15.758706895714925,22.86220617134571,-30.423671815989874,-18.275585613475265,17.64417983747051,16.601213314566454,34.20942521812849,0.614007333801414,41.0757698541329,30.394482198471184,62.51932268923086,-18.37650508166524,-41.24310279391587,1.3562367881031934,104.06342186244393,-23.853640941669273,-28.153803766228613,-35.34431100827832,-32.3403418492097,-35.202768663263406,-10.713782157951057
1/10/2020,-3.167583985207334,13.103918819585502,36.64906059232078,107.49816819767015,-33.008008423830425,-28.63695166411855,200.17550120374116,-3.475015911897328,-21.011453118704026,-10.09795181188089,-35.031152587458415,-34.850561837927806,-74.37172921174124,5.51266401083379,-6.306440620207876,-29.500251310404245,-32.74855778725087,-35.37042907772133,-46.61417687539934,2.99612441617807,10.15225059129774,68.27245708377212,57.214441161281556,-48.695280052638154,-34.139559983346146,5.36317936397257,79.0645818760148,-17.57282397797535
1/13/2020,-50.97735872489937,-24.872633030387735,-65.94166752731931,-59.69188057607653,-15.727855710594408,1.348796967699406,-60.79801481084544,-19.132852501144924,-24.939865499310898,-15.19769141006907,103.33058915458034,-35.94212173137051,37.922447374145676,22.75868064015265,-28.140515372796838,-31.27769007485869,-36.755629216812714,-12.41227391210491,572.1307590631079,33.27463939408557,11.290575270540248,-47.31188166108098,-31.297077770621804,48.443606271404164,26.02672454724275,-45.10882784992805,-55.55556825647033,238.6014236277076
1/14/2020,41.69880718390488,12.670262484981532,79.70747065996528,-45.82162026248311,-1.6640509028813533,75.6386543075476,-19.167436134195135,5.833966757063758,81.38841596726742,20.66403180937837,-21.045748494305883,76.40841327292516,-46.35614692223362,-3.268595227284965,2.0697842757429807,86.65431641348648,144.22545484794358,116.70046662240571,-78.34630207198948,-58.706314589253076,-43.844213604326285,4.8652301412527965,43.11596262365494,3.676615118782589,16.865768358869595,8.593914397542202,111.41411255563418,4.784566141732172
1/15/2020,-9.803388341716312,9.312340374968997,98.75957692777185,32.00555383873611,37.964664260031846,-34.56152637988873,7.75457065263041,49.467595028841195,33.53405136281658,19.834011296362952,-3.1815249789382105,-11.379682397571212,68.38447430688743,-53.75729390876505,26.28955629856231,-17.686291635237605,-24.256843270125948,-54.03491700107887,18.688953265939112,5.430399719495083,12.75638348970627,-0.5553493506600282,-22.622529009013704,-11.116714804921358,8.05073271375807,-4.953140423708147,-41.030290259711386,38.97164460418621
1/16/2020,-6.959427423581721,-17.999355634676462,-48.058842548856326,49.79498988228299,-36.016286014849776,19.85643022265482,-0.365061176978021,-39.33886283103858,-43.85832920378897,-26.95891917662705,58.31819484690839,-8.936519644826557,61.29044150279377,71.08146121526188,-7.5814968688918905,390.03569017073403,34.69134507081462,28.14300318446705,20.2085404976291,145.8199958428601,44.61867249575735,150.51355152817302,-13.860259179194367,18.946716521392727,-36.918603990352594,12.245876946397916,3.0718699408385897,-13.10212928399338
1/17/2020,-37.03956422348518,18.361930651535463,-5.383703178196719,280.0700533958743,74.75097126621719,20.36241156015326,191.32404253876527,136.61353211009174,-22.463511533150925,24.218865632091813,-59.71097928761851,62.7898597877615,-99.72988450346786,-21.10282883022109,17.264884638874612,-52.56141490492501,-22.64900538916219,16.915821894069527,-45.06318579639297,-44.975647703443144,-27.170565899498932,-55.91950659925897,-45.56180184854549,5.256135767387171,-10.873435146413357,-22.92790290183341,-20.617728328332486,-53.00845362986784
